Category,Title,Director(s)
Animated Feature Film,Onward,Dan Scanlon
Best Picture,Mank,David Fincher
International Feature Film,Collective,Alexander Nanau
Short Film (Live Action),Feeling Through,Doug Roland
Animated Feature Film,Over the Moon,Glen Keane
Animated Feature Film,Farmageddon,Will Becher and Richard Phelan
Documentary (Feature),Collective,Alexander Nanau
Documentary (Feature),Crip Camp,Nicole Newnham
Best Picture,Judas and the Black Messiah,Shaka King
Best Picture,Minari,Lee Isaac Chung
Best Picture,Nomadland,Chloé Zhao
International Feature Film,Another Round,Thomas Vinterberg
Short Film (Live Action),The Letter Room,Elvira Lind
Animated Feature Film,Soul,Pete Docter
Short Film (Live Action),Two Distant Strangers,Travon Free and Martin Desmond Roe
Short Film (Live Action),White Eye,Tomer Shushan
Animated Feature Film,Wolfwalkers,Tomm Moore and Ross Stewart
Best Picture,Promising Young Woman,Emerald Fennell
Best Picture,Sound of Metal,Darius Marder
Documentary (Feature),The Mole Agent,Maite Alberdi
Documentary (Feature),My Octopus Teacher,Pippa Ehrlich and James Reed
Documentary (Feature),Time,Garrett Bradley
Best Picture,The Trial of the Chicago 7,Aaron Sorkin
Best Picture,The Father,Florian Zeller
International Feature Film,Better Days,Derek Tsang
International Feature Film,The Man Who Sold His Skin,Kaouther Ben Hania
International Feature Film,"Quo Vadis, Aida?",Jasmila Žbanić
Short Film (Live Action),The Present,Farah Nabulsi
